SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,246128000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004001030,中长期存款,510203000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,36269000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004001999,非流动资产合计,1352969000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002001,存货,184499000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002003,应收帐款,778321000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,272002000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,8010000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002010,现金及等价物,1292686000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002011,短期存款,20000000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),2535763000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002023,合同资产,4434000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004002999,流动资产合计,5095715000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004009999,总资产,6448684000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004011001,应付帐款,321357000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004011003,应付税项,4926000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),24364000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,183863000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004011010,短期贷款,3752000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004011024,合同负债,173881000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004011997,流动负债其他项目,44790000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004011999,流动负债合计,756933000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004013999,净流动资产,4338782000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,5691751000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004020001,长期贷款,15000000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004020003,递延税项负债,25027000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),11000000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004020997,非流动负债其他项目,5888737000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004020999,非流动负债合计,5939764000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004025999,总负债,6696697000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004027999,少数股东权益,103008000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004028999,净资产,-248013000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004030001,股本,437706000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004030002,储备,6643834000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),-2534467000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004030012,库存股,-4898094000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004030999,股东权益,-351021000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004036999,总权益,-248013000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,5691751000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004039999,总权益及总负债,6448684000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,47658000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004001004,无形资产,19916000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004001019,其他投资,86638000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,20936000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004001030,中长期存款,,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,38519000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004001999,非流动资产合计,213667000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002001,存货,28186000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002003,应收帐款,262699000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,169980000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,18201000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002010,现金及等价物,1052073000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002011,短期存款,95602000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),174408000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002023,合同资产,1193000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004002999,流动资产合计,1802342000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004009999,总资产,2016009000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004011001,应付帐款,84968000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004011003,应付税项,,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),21185000.0,2020-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,73366000.0,2020-12-31 00:00:00
